Descriptor,mae_mean,mae_std,rmse_mean,r2_mean
Boronic_MACCS_fingerprint,39.649332648663474,2.4038736793785365,52.853795816451544,0.36744670781065475
Boronic_Morgan_fingerprint,38.43610586371303,1.4382670048541504,51.41355868109016,0.40629787891823127
CoulombMatrix_BoronicAcids_Desc,47.32551442296052,4.125453931972111,60.86443123562687,0.1739502697173329
Boronic_Mordred_3DC,38.13512268066406,3.862553303814718,49.21427267817468,0.459945529606108
Boronic_Bonds_Desc_Boron_En,44.40004326686386,3.498699058595949,58.320302322546105,0.24254284386172822
