fold,mae,rmse,r2,best_inner_mae,best_inner_mae_std,best_params,feature_importances
1,41.23975580388849,55.0272003385866,0.2519328125929752,43.8089536427446,1.550670901412268,"{'n_estimators': 800, 'max_depth': 9, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'reg_alpha': 1.0, 'reg_lambda': 1.0}","[0.02937299571931362, 0.10765693336725235, 0.05514001101255417, 0.06925249099731445, 0.07326043397188187, 0.0687144547700882, 0.06701941788196564, 0.07437513768672943, 0.08557868003845215, 0.1045401468873024, 0.03558586165308952, 0.11259042471647263, 0.05340335890650749, 0.05312928557395935, 0.0, 0.010380251333117485, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,41.69796015211373,53.22279626846344,0.2657015082317111,42.93399756441598,2.238157042887434,"{'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.6, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 1.0}","[0.04917922616004944, 0.10977333039045334, 0.08304576575756073, 0.07591335475444794, 0.10077633708715439, 0.08278702199459076, 0.08086676895618439, 0.06095219403505325, 0.060639895498752594, 0.11470920592546463, 0.03284366428852081, 0.02424253337085247, 0.03393419831991196, 0.03664790838956833, 0.05368855223059654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,44.60404766492607,57.013304014076255,0.20388319379683384,42.888444562023274,1.6134062531158404,"{'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 3.0}","[0.03247405216097832, 0.11298566311597824, 0.060382820665836334, 0.06044416129589081, 0.07038825005292892, 0.056006647646427155, 0.05050285905599594, 0.06118149682879448, 0.07425862550735474, 0.167639821767807, 0.05028432607650757, 0.018682807683944702, 0.03820176050066948, 0.038231365382671356, 0.06546948105096817, 0.042865898460149765, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,50.02428795680527,66.6540650057433,0.2576088337872756,41.587015945718896,1.2944465276772115,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}","[0.030944103375077248, 0.12938223779201508, 0.07527466118335724, 0.08299486339092255, 0.08883567154407501, 0.09651460498571396, 0.0683153048157692, 0.09758476167917252, 0.056751713156700134, 0.08351351320743561, 0.05992773920297623, 0.022710898891091347, 0.03499495983123779, 0.023689957335591316, 0.04856501892209053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,44.434164756585744,59.684145985860944,0.23358787089984545,41.80785099403278,1.3961658639096757,"{'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.6, 'reg_alpha': 0.0, 'reg_lambda': 3.0}","[0.06393666565418243, 0.11179748922586441, 0.0831238329410553, 0.08104325085878372, 0.09675274789333344, 0.08392379432916641, 0.05096615105867386, 0.06239255890250206, 0.05471368506550789, 0.07406733185052872, 0.05732354894280434, 0.035946838557720184, 0.015732744708657265, 0.03424491733312607, 0.03431762382388115, 0.059716805815696716, 0.0, 0.0, 0.0, 0.0, 0.0]"
